username,name,blitz_rating,time_control
darkbluelord,Pablo Pena,2320,5+0
davidforthoffer,David Forthoffer,2300,5+0
dawnrule,Andrew Lu,2486,3+0
defenstrator,Bryan Weisz,2762,3+0
denizg123,,2210,3+2
denmark2015,ZAHAR HILKEVICH,2714,3+0
desxmchna,Kristoffer K Littlejohn,2469,3+0
deviousman123,matthew atkins,2413,3+0
dgango66,Dmitri Dzhangirov,2421,3+0
dgwizard,Derin Goktepe,2493,3+0
diamondcrusher22,Annorjan Naguleswaran,1921,3+2
dianosky,Eden Diano,2551,1+0
dilshad92,Dilshad Mohammed,2434,3+0
disgustingsasquatch,Fried OnionRing,2249,3+0
dmitriyobukhov,Dmitriy Obukhov,2217,5+0
dnextepisode,Gnel Melikyan,2611,180+1
dogsarethebestanimals,,2544,3+0
donfidodido,,2254,3+2
donkinig,,2593,3+2
doraemonandme,Hardy Gu,2502,5+0
doublefinger,Shi Tian Yu Pan,2195,3+2
doubletactic,Joshua Xia,2398,3+2
doudou321,Dustin Liang,2166,600
dragonfly2758,Igor Yeliseyev,2256,3+0
dragonnimzo,,2369,3+0
dragonplane,,2531,3+0
drdrunkensteining,,2690,3+0
dres1,Andres Castaneda,2172,3+2
dscc,,2200,3+2
dschwarz,Daniel Schwarz,2572,3+0
dwb222222,Douglas W Browning,2163,3+2
dwyde,David Wyde,2412,3+0
dyesuvkorinch715,Minh Tran,2311,3+0
e4najdorf,Matt Miller,2009,3+2
eamonmont,Eamon Montgomery,2553,3+0
ebalck,Eric Balck,2137,5+0
ec45nf36,eddie,2532,3+0
eel1957,Lee LaFrese,2024,3+2
ehesfarkas,William R Davis,1721,3+0
eigentourist,,2151,3+0
eightbyeightchess,Nitai Leve,2516,3+0
einstein_fan09,Sricharan Pullela,2636,3+0
ejarov,Okechukwu Iwu,2452,3+2
ekurtz,Eric Kurtz,2901,3+0
elaurens,Lawrence Stevens,2110,3+2
elbertzeng,Elbert Zeng,2277,3+2
elcoachrene,Rene' Phillips,1928,5+0
elephantchessgenius,Kyle Qiyu Dong,2301,180+1
elijahlogozar,Elijah Logozar,2658,3+0
elliotaldersontwitch,Shelev Oberoi,3015,3+0
